city,lat,temp,humidity,clouds,wind,lon
tasiilaq,65.6145,37.4,81.0,90.0,11.5,-37.6368
bajo baudo,19.7297,75.07,78.0,90.0,6.91,-155.09
hilo,18.0858,68.0,77.0,0.0,14.97,-15.9785
nouakchott,29.0361,59.92,95.0,100.0,1.34,114.5636
yining,-53.15,48.09,87.0,90.0,13.8,-70.9167
punta arenas,55.7435,32.0,93.0,90.0,13.8,-97.8558
illoqqortoormiut,-20.5167,77.0,88.0,75.0,14.97,57.5167
thompson,6.8708,76.55,92.0,92.0,2.77,-10.8172
souillac,-3.7367,76.12,87.0,99.0,3.2,-43.3394
tubmanburg,48.7119,41.0,70.0,0.0,4.03,45.1994
corrente,41.3712,57.9,51.0,90.0,5.75,-73.414
leninsk,20.8947,76.69,54.0,40.0,23.02,-156.47
bethel,-41.4122,58.59,63.0,20.0,10.36,175.5153
kahului,22.2855,71.26,82.0,100.0,1.01,114.1577
waipawa,9.6612,87.12,49.0,86.0,5.73,-68.5827
victoria,17.0151,82.4,74.0,40.0,8.05,54.0924
san carlos,-34.5322,53.6,94.0,100.0,2.3,20.0403
salalah,14.9215,71.6,73.0,75.0,17.27,-23.5087
bredasdorp,15.85,86.0,66.0,40.0,6.91,-97.0667
praia,-20.3428,76.53,88.0,75.0,14.97,57.7575
puerto escondido,-23.1203,78.24,74.0,98.0,7.78,-134.9692
bambous virieux,-2.95,67.1,96.0,67.0,0.31,25.95
rikitea,13.9553,89.35,21.0,63.0,9.26,7.6712
kindu,-16.5,50.0,32.0,20.0,6.91,-68.15
panagjuriste,3.0707,82.9,74.0,14.0,11.9,172.7902
mayahi,6.0167,65.84,89.0,72.0,1.74,10.0
la paz,70.6333,22.28,94.0,100.0,13.67,147.9167
butaritari,64.8569,59.31,26.0,1.0,1.03,-147.8028
mbengwi,56.693,36.41,77.0,75.0,12.17,54.3499
chokurdakh,5.4112,78.4,89.0,20.0,2.3,100.3354
college,-0.7393,82.4,69.0,20.0,16.11,-90.3518
foki,-33.65,50.63,98.0,100.0,4.52,115.3333
lolua,63.05,31.55,91.0,99.0,1.59,179.3167
